"Gender","Age","Induction","Content1","Calm1","Energetic1","Empowered1","Sad1","Frustrated1","Vigilant1","Bored1","Serene1","Unhappy1","SelfAssured1","Vulnerable1","Stressed1","Surprised1","InControl1","Active1","Depressed1","Unconcerned1","Nervous1","Enthusiastic1","Relaxed1","Anxious1","Overwhelmed1","Helpless1","AtEase1","Confident1","Angry1","Scared1","Satisfied1","Disheartened1","Upset1","Passive1","Panicked1","Asleep1","Happy1","Elated1","Joyful1","Insecure1","Tense1","Aggressive1","Content2","Calm2","Energetic2","Empowered2","Sad2","Frustrated2","Vigilant2","Bored2","Serene2","Unhappy2","SelfAssured2","Vulnerable2","Stressed2","Surprised2","InControl2","Active2","Depressed2","Unconcerned2","Nervous2","Enthusiastic2","Relaxed2","Anxious2","Overwhelmed2","Helpless2","AtEase2","Confident2","Angry2","Scared2","Satisfied2","Disheartened2","Upset2","Passive2","Panicked2","Asleep2","Happy2","Elated2","Joyful2","Insecure2","Tense2","Aggressive2"
"F","40","Neutral","67",74,57,47,4,2,34,3,65,2,64,2,30,6,52,56,12,4,41,72,63,11,16,2,72,94,2,3,68,4,3,4,2,33,79,6,75,5,19,2,70,42,60,38,4,39,43,18,48,3,46,3,48,10,60,56,4,21,50,47,36,3,9,1,17,77,4,6,46,4,9,31,3,36,61,8,56,4,17,2
"F","19","Neutral","75",100,56,42,8,0,0,2,72,0,50,12,19,14,77,52,0,60,7,39,73,4,4,0,66,60,0,0,62,0,0,23,3,55,38,0,37,17,3,0,50,81,27,23,0,0,8,2,69,0,47,22,35,13,55,61,0,48,9,73,82,4,0,5,75,41,0,7,43,0,0,36,0,47,54,0,53,1,24,0
"M","24","Neutral","85",32,79,11,0,0,64,0,64,0,44,13,42,0,45,60,0,0,41,47,45,28,0,0,59,33,0,5,46,0,0,4,0,0,62,16,62,3,40,0,78,62,74,5,0,0,31,0,48,0,9,8,23,0,9,55,0,0,27,55,61,14,0,0,59,26,0,0,49,0,0,0,0,0,64,6,60,6,13,0
"F","19","Neutral","55",51,51,88,20,97,4,2,4,92,2,66,82,52,93,64,69,10,94,69,17,100,68,16,21,9,75,100,91,1,73,1,35,69,29,15,15,75,77,61,43,40,22,85,61,70,5,6,40,90,24,20,72,30,16,75,68,3,91,65,15,88,59,29,10,36,60,97,61,2,72,3,62,48,36,6,12,52,79,34
"F","25","Neutral","61",64,11,13,80,29,69,61,4,59,23,69,72,1,43,12,87,72,49,31,24,63,68,88,43,15,16,45,24,75,35,80,55,95,28,14,11,75,30,3,36,60,38,7,64,42,69,54,17,58,38,49,77,24,30,29,86,47,83,17,32,75,58,85,34,27,4,48,40,60,12,48,57,57,25,24,27,60,45,1
"F","18","Neutral","75",80,13,3,33,47,33,0,93,20,8,82,15,0,44,28,29,0,21,39,11,74,41,55,62,16,15,0,23,16,12,0,0,4,32,12,31,28,11,0,52,78,21,8,35,29,65,0,83,9,47,55,23,6,66,36,36,0,12,51,67,10,27,21,75,26,12,0,55,11,9,0,0,6,34,27,45,7,5,0
"F","19","Neutral","71",68,33,37,19,8,10,3,41,5,47,5,25,1,58,17,2,11,9,52,64,16,2,3,78,20,1,7,35,4,7,2,3,73,65,17,60,3,4,0,78,22,15,20,5,4,14,2,28,3,23,4,10,9,36,7,2,4,10,25,41,7,13,4,46,13,2,6,39,3,2,4,3,40,56,7,59,2,10,1
"F","30","Neutral","100",100,100,100,0,0,100,0,100,0,100,0,0,100,0,100,0,0,0,100,100,0,0,0,100,100,0,0,100,0,0,0,0,0,100,0,100,0,0,0,100,100,100,100,0,0,100,0,100,0,100,0,0,100,100,100,0,0,0,100,100,0,0,0,100,100,0,0,100,0,0,0,0,0,100,0,100,0,0,0
"F","21","Neutral","80",70,80,70,10,15,50,25,71,10,81,25,36,10,71,50,10,35,30,60,65,30,10,57,65,75,10,10,65,5,15,60,10,60,85,45,85,10,10,5,80,65,45,70,10,25,65,40,65,5,65,30,24,35,75,50,10,15,30,85,70,10,11,35,55,80,10,10,60,5,25,80,5,45,85,55,70,15,5,5
"F","20","Neutral","68",64,34,21,20,0,74,32,36,6,76,66,35,0,88,62,5,36,62,100,51,38,0,0,52,69,0,14,74,0,0,6,0,86,72,31,30,100,54,0,74,70,29,15,11,0,58,17,70,0,28,39,44,0,74,7,6,78,63,61,66,38,0,15,80,59,0,0,48,0,0,26,0,93,66,2,49,36,25,0
"F","21","Neutral","23",73,14,6,78,22,46,70,32,93,17,10,78,0,73,19,100,73,63,9,20,90,67,75,47,9,0,0,4,78,64,65,5,100,26,17,19,30,78,0,25,100,20,10,72,25,0,50,45,70,9,0,6,12,8,38,78,86,7,33,90,15,0,58,80,34,0,0,65,0,16,68,0,100,8,21,21,28,30,0
"F","20","Neutral","57",76,37,18,7,10,28,14,69,10,66,14,13,4,39,16,3,16,7,37,75,10,9,29,68,35,19,15,12,22,6,38,6,68,49,6,8,10,6,4,12,68,10,10,4,18,38,22,29,12,12,24,14,10,4,18,9,36,33,26,24,18,6,12,28,29,6,10,10,18,8,12,12,69,44,18,15,24,23,6
"F","21","Neutral","88",85,70,58,0,0,30,0,50,4,62,30,19,15,62,84,0,0,13,75,73,7,7,17,71,53,0,0,80,0,6,17,0,8,81,21,81,27,6,0,91,90,91,57,0,0,33,0,85,0,69,9,7,9,78,84,0,0,0,85,91,6,0,7,81,83,0,0,77,0,0,0,0,0,81,67,83,36,8,0
"F","19","Neutral","53",50,53,50,28,21,28,21,53,50,22,61,45,51,52,55,22,18,58,71,21,49,21,55,21,27,22,27,0,50,0,13,0,13,0,35,0,22,0,13,49,23,28,24,17,51,63,24,17,43,17,57,49,73,49,73,17,22,39,53,16,45,56,69,21,25,20,26,14,13,14,13,31,14,48,15,48,19,29,15
